PropertyHintId,CountryIds,FeatureNames,DisplayType,PropertyName,DependentPropertyName,DependentPropertyValueRegex,DisplayName,DisplayDescription,IsHidden,IsDisabled,IsHighlighted,IsDefault,IsBack,InputScope,MaskInput,ShowDisplayName,DisplayFormat,DisplayExample,MinLength,MaxLength,DisplayContent,DisplayContentDescription,DisplayHelpSequenceId,DisplayHelpSequenceText,ClientAction,Context,DestinationId,PossibleValues,DisplaySelectionText,SourceUrl,DisplayLogo,SelectType,MaskDisplay,DisplayConditionFunctionName,DataCollectionSource,DataCollectionFilterFunctionName,IsSelectFirstItem,DisplayImage,DisplayHelpPosition,StyleHints
paypalredirectMessage,,,text,,,,,,,,,,,,,,,,,,"If not, wait a moment or two, you'll be redirected there. If you have, select Continue to add your PayPal account to your Microsoft account.",,,,,,,,,,,,,,,,,,,
challengecvvHeading,,,heading,,,,,,,,,,,,,,,,,,Add this card from your Microsoft Account,,,,,,,,,,,,,,,,,,,
challengecvvText,,,subheading,,,,,,,,,,,,,,,,,,Enter the security code on the back of the card,,,,,,,,,,,,,,,,,,,
challengecvvSecurityCode,,,property,cvv,,,Security code,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,/staticresourceservice/images/v4/cardHints_generic.png,,
taxCpfProperty,,,property,value,,,CPF,CPF,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
taxCnpjProperty,,,property,value,,,CNPJ,CNPJ,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
taxVatIdProperty,tw,,property,value,,,Tax ID,Tax ID,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
taxIndiaStateCstIdProperty,,,property,value,,,CST ID,CST ID,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
taxIndiaStateVatIdProperty,,,property,value,,,VAT ID,VAT ID,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
taxIndiaStateGstIdProperty,,,property,value,,,GST ID,GST ID,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
taxIndiaPanIdProperty,,,property,value,,,PAN ID,PAN ID,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
taxVatIdProperty,,,property,value,,,VAT ID,VAT ID,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
taxCanadianFederalExemptProperty,,,property,value,,,Canadian Federal Tax Exempt Certificate No.,Canadian Federal Tax Exempt Certificate No.,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
taxCanadianProvinceExemptProperty,,,property,value,,,Canadian Province Tax Exempt Certificate No.,Canadian Province Tax Exempt Certificate No.,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
taxUsExemptProperty,,,property,value,,,US Tax Exempt Certificate No.,US Tax Exempt Certificate No.,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
taxVatIdProperty,au,,property,value,,,VAT ID,VAT ID,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
taxVatIdProperty,nz,,property,value,,,GST Registration No.,GST Registration No.,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
profileEmployeeFirstNameProperty,,,property,first_name,,,First name,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
profileEmployeeLastNameProperty,,,property,last_name,,,Last name,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
profileEmployeeEmailAddressProperty,,,property,email_address,,,Email address,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
profileEmployeeCultureProperty,,,property,culture,,,Language,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
profileEmployeeLanguageProperty,,,property,language,,,Communication Language,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
profileEmployeeCompanyNameProperty,,,property,company_name,,,Company name,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
