Url,Resource Name,Identity,Country,Language,Partner,Operation,Scenario,Filter,AllowedPaymentMethods,DeltaType/Description,Path,In SelfHost,In SelfHost,SelfHost Response,SelfHost Response,PI State,PI Scenario,Data,Triage
users/me/paymentMethodDescriptions?country=jp&family=credit_card&type=mc&language=en-US&partner=xboxsettings&operation=update,paymentMethodDescriptions,credit_card.mc,jp,en-US,xboxsettings,update,,,,Baseline Failed: BadRequest,,,,400,400,None,,"{""CorrelationId"":""7eb7280c-9e34-416a-9b5c-114c0f97988e"",""ErrorCode"":""PaymentMethodFamilyIsNotSupportedForStoreInCountry"",""Message"":""No results found for PaymentMethodFamily and PaymentMethodType for the provided country.""}","[v-pranshinde, Rebase diff test 08182025]"
users/me/paymentMethodDescriptions?country=jp&family=credit_card&type=amex&language=en-US&partner=xboxsettings&operation=update,paymentMethodDescriptions,credit_card.amex,jp,en-US,xboxsettings,update,,,,Baseline Failed: BadRequest,,,,400,400,None,,"{""CorrelationId"":""dc62a2bd-8671-4811-912c-ec66125dd957"",""ErrorCode"":""PaymentMethodFamilyIsNotSupportedForStoreInCountry"",""Message"":""No results found for PaymentMethodFamily and PaymentMethodType for the provided country.""}","[v-pranshinde, Rebase diff test 08182025]"
users/me/paymentMethodDescriptions?country=jp&family=credit_card&type=jcb&language=en-US&partner=xboxsettings&operation=update,paymentMethodDescriptions,credit_card.jcb,jp,en-US,xboxsettings,update,,,,Baseline Failed: BadRequest,,,,400,400,None,,"{""CorrelationId"":""00302f63-11d0-457a-bdee-4a9476a8509f"",""ErrorCode"":""PaymentMethodFamilyIsNotSupportedForStoreInCountry"",""Message"":""No results found for PaymentMethodFamily and PaymentMethodType for the provided country.""}","[v-pranshinde, Rebase diff test 08182025]"
users/me/paymentMethodDescriptions?country=ph&family=credit_card&language=en-US&partner=xboxsettings&operation=update,paymentMethodDescriptions,credit_card,ph,en-US,xboxsettings,update,,,,Baseline Failed: BadRequest,,,,400,400,None,,"{""CorrelationId"":""61b73822-f900-45bf-8f35-193e1f026f62"",""ErrorCode"":""PaymentMethodFamilyIsNotSupportedForStoreInCountry"",""Message"":""No results found for PaymentMethodFamily and PaymentMethodType for the provided country.""}","[v-pranshinde, Rebase diff test 08182025]"
users/me/paymentMethodDescriptions?country=ph&family=credit_card&language=en-US&partner=xboxsettings&operation=update,paymentMethodDescriptions,credit_card,ph,en-US,xboxsettings,update,,,,Baseline Failed: BadRequest,,,,400,400,None,,"{""CorrelationId"":""cbc5e23f-3dee-4349-b60d-8046fcda51b4"",""ErrorCode"":""PaymentMethodFamilyIsNotSupportedForStoreInCountry"",""Message"":""No results found for PaymentMethodFamily and PaymentMethodType for the provided country.""}","[v-pranshinde, Rebase diff test 08182025]"
users/me/paymentMethodDescriptions?country=ph&family=credit_card&type=visa&language=en-US&partner=xboxsettings&operation=update,paymentMethodDescriptions,credit_card.visa,ph,en-US,xboxsettings,update,,,,Baseline Failed: BadRequest,,,,400,400,None,,"{""CorrelationId"":""5d24da34-bd1a-4170-9871-75a9100b9fce"",""ErrorCode"":""PaymentMethodFamilyIsNotSupportedForStoreInCountry"",""Message"":""No results found for PaymentMethodFamily and PaymentMethodType for the provided country.""}","[v-pranshinde, Rebase diff test 08182025]"
users/me/paymentMethodDescriptions?country=ph&family=credit_card&type=amex&language=en-US&partner=xboxsettings&operation=update,paymentMethodDescriptions,credit_card.amex,ph,en-US,xboxsettings,update,,,,Baseline Failed: BadRequest,,,,400,400,None,,"{""CorrelationId"":""21043f9f-6ea7-47f2-a777-bc4432f8e97e"",""ErrorCode"":""PaymentMethodFamilyIsNotSupportedForStoreInCountry"",""Message"":""No results found for PaymentMethodFamily and PaymentMethodType for the provided country.""}","[v-pranshinde, Rebase diff test 08182025]"
users/me/paymentMethodDescriptions?country=ph&family=credit_card&type=visa&language=en-US&partner=xboxsettings&operation=update,paymentMethodDescriptions,credit_card.visa,ph,en-US,xboxsettings,update,,,,Baseline Failed: BadRequest,,,,400,400,None,,"{""CorrelationId"":""08f47258-7fbf-4b4d-8106-3585830443dc"",""ErrorCode"":""PaymentMethodFamilyIsNotSupportedForStoreInCountry"",""Message"":""No results found for PaymentMethodFamily and PaymentMethodType for the provided country.""}","[v-pranshinde, Rebase diff test 08182025]"
users/me/paymentMethodDescriptions?country=ph&family=credit_card&type=amex&language=en-US&partner=xboxsettings&operation=update,paymentMethodDescriptions,credit_card.amex,ph,en-US,xboxsettings,update,,,,Baseline Failed: BadRequest,,,,400,400,None,,"{""CorrelationId"":""49372d09-4270-45f8-bc60-0a01dfe58981"",""ErrorCode"":""PaymentMethodFamilyIsNotSupportedForStoreInCountry"",""Message"":""No results found for PaymentMethodFamily and PaymentMethodType for the provided country.""}","[v-pranshinde, Rebase diff test 08182025]"
users/me/paymentMethodDescriptions?country=ph&family=credit_card&type=mc&language=en-US&partner=xboxsettings&operation=update,paymentMethodDescriptions,credit_card.mc,ph,en-US,xboxsettings,update,,,,Baseline Failed: BadRequest,,,,400,400,None,,"{""CorrelationId"":""9fe2613f-7e92-44b3-af68-26cf47380960"",""ErrorCode"":""PaymentMethodFamilyIsNotSupportedForStoreInCountry"",""Message"":""No results found for PaymentMethodFamily and PaymentMethodType for the provided country.""}","[v-pranshinde, Rebase diff test 08182025]"
