ResourceAction,PaymentMethodFamily,PaymentMethodType,Country,ContainedIn_Partner,Partner,Message,ErrorCode,DetailsErrorCode,DetailsMessage,DetailsTarget,ClientAction
,,,,,,CupErrorMessages.TooManySmsRequests,CupErrorCodes.TooManyOperations,,,,
,,,,,,CupErrorMessages.Generic,,,,,
,credit_card,PaymentMethodType.UnionPayDebitCard,,,,ClientActionContract.NoMessage,CupErrorCodes.ValidationFailed,,CupErrorMessages.InvalidPhoneNumber,CupErrorTargets.PhoneNumber,Jumpback
,,,,,,,CupErrorCodes.InvalidCvv,,,,
,,,,,,ClientActionContract.NoMessage,CupErrorCodes.InvalidExpiryDate,,CupErrorMessages.InvalidExpiryDate,CupErrorTargets.ExpiryMonth,Jumpback
,,,,,,,CupErrorCodes.ExpiredCard,,,CupErrorTargets.ExpiryYear,
,,,,,,ClientActionContract.NoMessage,CupErrorCodes.InvalidChallengeCode,CupErrorCodes.InvalidChallengeCode,CupErrorMessages.InvalidSmsCode,CupErrorTargets.Sms,
,,,,,,ClientActionContract.NoMessage,CupErrorCodes.ChallengeCodeExpired,CupErrorCodes.ChallengeCodeExpired,CupErrorMessages.SmsCodeExpired,CupErrorTargets.Sms,
,,,,,,CupErrorMessages.TooManySmsRequests,CupErrorCodes.TooManyOperations,,,,
,,,,,,CupErrorMessages.Generic,,,,,
,direct_debit,PaymentMethodType.Ach,,,,ClientActionContract.NoMessage,DirectDebitErrorCodes.InvalidAmount,,DirectDebitErrorMessages.InvalidAmount,DirectDebitErrorTargets.Amount,DirectDebitAch
,,,,,,DirectDebitErrorMessages.Generic,,,,,
,direct_debit,PaymentMethodType.Sepa,,,,ClientActionContract.NoMessage,DirectDebitErrorCodes.InvalidAmount,,DirectDebitErrorMessages.InvalidAmount,DirectDebitErrorTargets.Amount,DirectDebitSepa
,,,,,,DirectDebitErrorMessages.Generic,,,,,
,ewallet,PaymentMethodType.AlipayBillingAgreement,,,,ClientActionContract.NoMessage,AlipayErrorCodes.InvalidChallengeCode,,AlipayErrorMessages.InvalidChallengeCode,AlipayErrorTargets.Sms,
,,,,,,ClientActionContract.NoMessage,AlipayErrorCodes.ChallengeCodeExpired,,AlipayErrorMessages.ChallengeCodeExpired,AlipayErrorTargets.Sms,
,,,,,,AlipayErrorMessages.Generic,,,,,
,mobile_billing_non_sim,,,,,ClientActionContract.NoMessage,NonSimErrorCodes.InvalidChallengeCode,,NonSimErrorMessages.InvalidChallengeCode,NonSimErrorTargets.Sms,
,,,,,,NonSimErrorMessages.Generic,,,,,
